Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"SA1 (EN) by 1-digit level HCFMD Family Household Composition (Dwelling)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"1-digit level HCFMD Family Household Composition (Dwelling)","One family household","Multiple family household","Other household","Not applicable","Total",
"SA1 (EN)",
"50301103207",107,6,114,65,286,
"50301103208",96,0,33,4,126,
"50301103209",166,0,72,26,266,
"50301103210",126,0,34,14,170,
"50301103211",137,0,49,30,210,
"50301103212",96,0,70,43,210,
"50301103213",126,0,74,30,227,
"50301103214",107,6,27,15,154,
"50301103215",123,3,121,72,322,
"50301103216",83,0,38,22,141,
"50301103217",103,0,54,35,194,
"50301103218",135,0,48,18,195,
"50301103301",92,0,18,7,114,
"50301103302",91,0,14,10,112,
"50301103303",135,3,30,13,180,
"50301103304",85,0,16,3,103,
"50301103305",142,9,19,7,172,
"50301103306",113,0,13,4,136,
"50301103307",124,5,26,9,162,
"50301103308",0,0,0,0,0,
"50301103309",83,4,14,3,103,
"50301103310",89,0,19,5,112,
"50301103311",82,0,14,3,104,
"50301103312",136,0,9,7,162,
"50301103313",76,0,10,0,82,
"50301103314",261,3,114,61,438,
"50301103315",137,0,28,3,167,
"50301103316",98,0,9,6,108,
"50301103317",90,0,28,9,121,
"50301103318",87,3,26,11,121,
"50301103319",98,0,36,5,136,
"50301103320",161,0,41,10,211,
"50301103321",95,0,19,0,120,
"50301103322",85,0,16,6,104,
"50301103401",55,0,36,17,107,
"50301103402",59,0,28,16,100,
"50301103403",164,0,67,30,258,
"50301103404",98,0,24,20,139,
"50301103405",142,0,41,22,204,
"50301103406",148,3,63,17,225,
"50301103407",142,0,29,5,182,
"50301103408",112,0,18,8,134,
"50301103409",124,3,54,19,199,
"50301103410",160,4,30,17,209,
"50301103411",87,0,16,8,112,
"50301103412",67,0,29,15,114,
"50301103413",128,3,219,67,416,
"50301103414",85,0,118,31,236,
"50301103415",92,0,184,52,325,
"50301103416",109,0,53,20,179,
"50301103417",93,5,25,9,126,
"50301103418",80,3,16,6,109,
"50301103419",84,0,16,5,103,
"50301103420",121,0,85,12,217,
"50301103421",161,0,227,47,442,
"50301103422",103,0,23,9,135,
"50301103423",102,0,21,13,141,
"50301103424",110,0,179,34,327,
"50301103501",71,0,14,7,89,
"50301103502",0,0,3,0,3,
"50301103503",112,0,45,12,170,
"50301103504",84,0,137,57,285,
"50301103505",114,0,142,61,326,
"50301103506",84,0,85,51,219,
"50301103507",64,0,84,27,172,
"50301103508",8,0,8,0,18,
"50301103509",48,0,14,6,65,
"50301103510",147,4,53,32,239,
"50301103511",123,0,48,12,184,
"50301103512",161,0,64,12,242,
"50301103513",173,6,30,5,215,
"50301103514",131,0,40,16,190,
"50301103515",91,0,14,11,113,
"50301103516",108,4,33,12,153,
"50301103517",132,0,30,7,164,
"50301103518",98,0,16,11,124,
"50301103519",89,0,20,9,119,
"50301103520",110,3,21,21,147,
"50301103521",188,0,163,37,385,
"50301103522",0,0,0,0,0,
"50301103523",180,0,124,69,369,
"50301103524",26,0,56,18,91,
"50301103525",135,0,57,11,207,
"50301103526",76,0,38,10,127,
"50301103527",101,0,60,11,169,
"50301103528",151,0,27,22,201,
"50301103529",95,5,19,13,133,
"50301103530",104,0,12,8,123,
"50301103531",110,0,20,17,142,
"50301103532",172,7,32,14,221,
"50301103533",208,7,60,27,303,
"50301103534",50,0,52,16,123,
"50301103535",154,0,63,12,233,
"50301103536",124,0,58,13,199,
"50301103537",110,0,19,6,139,
"50301103538",130,0,54,13,197,
"50301103539",122,5,65,19,218,
"50301103540",132,3,41,9,180,
"50301103541",129,0,27,8,161,
"50301103601",0,0,0,0,0,
"50301103602",125,6,70,16,211,
"50301103603",135,6,16,4,153,
"50301103604",81,5,5,0,94,
"50301103605",97,0,57,18,174,
"50301103606",125,0,92,14,234,
"50301103607",0,0,5,4,8,
"50301103608",101,0,19,5,124,
"50301103609",157,4,33,10,203,
"50301103610",69,0,13,11,92,
"50301103611",236,6,103,37,381,
"50301103612",161,5,43,23,230,
"50301103613",79,0,15,3,106,
"50301103614",127,0,40,28,189,
"50301103615",60,0,4,0,66,
"50301103616",138,0,11,4,155,
"50301103617",133,0,45,8,183,
"50301103618",98,0,32,10,140,
"50301103619",146,0,106,11,265,
"50301103620",101,3,24,12,135,
"50301103621",91,0,48,10,151,
"50301103622",0,0,0,0,0,
"50301103623",141,0,21,13,180,
"50301103624",100,0,56,16,175,
"50301103625",0,0,0,0,0,
"50302103701",14,0,4,12,32,
"50302103801",97,0,70,10,185,
"50302103802",89,0,161,24,271,
"50302103803",145,0,91,24,252,
"50302103804",79,0,49,10,139,
"50302103805",109,0,41,20,176,
"50302103806",157,0,173,41,371,
"50302103807",97,0,107,35,242,
"50302103808",95,0,142,48,284,
"50302103809",134,4,113,24,269,
"50302103810",141,0,52,16,201,
"50302103811",133,0,60,12,207,
"50302103812",0,0,0,0,0,
"50302103813",156,0,48,11,211,
"50302103814",77,0,71,16,166,
"50302103815",92,0,35,12,141,
"50302103816",99,0,11,3,108,
"50302103817",171,0,50,17,241,
"50302103818",88,0,28,5,124,
"50302103819",80,0,18,5,102,
"50302103820",112,0,27,7,151,
"50302103821",83,0,14,4,101,
"50302103822",185,0,59,3,248,
"50302103823",89,0,21,7,119,
"50302103824",136,0,25,6,168,
"50302103825",77,0,29,13,123,
"50302103826",176,0,87,27,291,
"50302103827",82,0,39,11,131,
"50302103828",115,0,66,25,198,
"50302103901",68,3,33,9,110,
"50302103902",117,0,55,16,187,
"50302103903",132,4,98,27,254,
"50302103904",0,0,0,0,0,
"50302103905",98,0,126,24,245,
"50302103906",92,0,71,15,176,
"50302103907",109,0,43,11,165,
"50302103908",135,0,112,37,288,
"50302103909",61,0,89,30,181,
"50302103910",152,4,166,46,360,
"50302103911",105,0,91,14,211,
"50302103912",122,0,127,37,288,
"50302103913",110,0,38,18,165,
"50302103914",86,0,145,37,265,
"50302103915",65,0,55,13,134,
"50302103916",114,0,25,9,157,
"50302103917",103,0,108,31,247,
"50302103918",139,0,56,15,206,
"50302103919",41,0,4,3,48,
"50302103920",134,0,33,11,181,
"50302103921",144,6,40,7,199,
"50302103922",135,0,91,20,247,
"50302103923",85,0,155,31,271,
"50302103924",116,0,157,30,306,
"50302103925",138,0,115,30,285,
"50302103926",89,0,45,11,145,
"50302103927",100,0,40,16,154,
"50302103928",127,0,64,13,201,
"50302103929",163,0,157,33,360,
"50302103930",165,0,170,28,372,
"50302103931",89,0,48,14,153,
"50302103932",145,4,75,25,250,
"50302103933",127,5,162,40,333,
"50302103934",105,0,26,7,136,
"50302103935",116,0,125,23,262,
"50302103936",102,0,31,13,154,
"50302103937",98,0,29,11,138,
"50302103938",99,0,30,7,133,
"50302103939",96,3,21,6,126,
"50302104001",112,0,133,39,291,
"50302104002",172,0,145,31,339,
"50302104003",158,0,67,19,240,
"50302104004",84,0,36,11,128,
"50302104005",139,5,66,36,237,
"50302104006",167,0,119,22,306,
"50302104007",147,0,50,19,217,
"50302104008",101,5,33,11,142,
"50302104009",127,3,56,12,198,
"50302104010",128,0,67,19,210,
"50302104011",126,5,69,14,213,
"50302104012",73,0,63,21,162,
"50302104013",103,0,63,10,180,
"50302104014",105,0,90,18,221,
"50302104015",76,0,155,29,258,
"50302104016",63,0,45,18,128,
"50302104017",130,0,112,29,269,
"50302104018",96,0,59,16,168,
"50302104019",112,0,59,7,171,
"50302104020",72,4,81,17,181,
"50302104021",110,5,72,25,214,
"50302104201",149,4,45,14,210,
"50302104205",109,0,210,63,379,
"50302104206",143,0,50,19,218,
"50302104207",111,0,40,13,165,
"50302104208",153,3,146,46,350,
"50302104209",79,0,51,15,148,
"50302104210",93,0,123,24,247,
"50302104211",94,0,36,6,138,
"50302104212",97,0,108,19,227,
"50302104213",120,3,45,15,186,
"50302104214",83,0,78,20,183,
"50302104215",118,0,70,11,193,
"50302104216",109,0,41,14,167,
"50302104217",138,0,37,14,186,
"50302104218",54,0,31,5,89,
"50302104219",125,0,35,7,166,
"50302104220",113,0,29,11,151,
"50302104221",131,0,40,9,180,
"50302104222",125,0,83,12,219,
"50302104223",148,0,52,19,221,
"50302104224",121,0,68,19,207,
"50302104225",127,0,32,5,167,
"50302104226",105,0,58,15,173,
"50302104227",3,0,4,5,15,
"50302104228",61,0,70,25,160,
"50302104229",85,0,75,16,183,
"50302104230",108,0,76,24,210,
"50302104231",88,0,270,57,417,
"50302104232",74,0,65,13,152,
"50302104233",163,0,183,57,410,
"50302104234",137,0,92,33,265,
"50302104235",75,0,84,28,190,
"50302104236",97,0,175,45,315,
"50302104237",71,0,129,39,243,
"50302104238",157,0,71,12,243,
"50302104239",79,0,37,17,128,
"50302104240",148,0,213,71,441,
"50302104241",109,0,111,42,255,
"50302104242",128,5,115,20,266,
"50302104243",103,0,115,46,265,
"50302104244",55,0,118,29,204,
"50302104301",87,0,64,23,171,
"50302104303",101,3,96,25,235,
"50302104304",119,0,129,29,278,
"50302104305",83,0,140,26,250,
"50302104306",131,0,174,30,345,
"50302104307",57,0,98,24,183,
"50302104308",91,0,162,48,298,
"50302104309",0,0,0,0,3,
"50302104310",139,0,83,22,244,
"50302104311",0,0,0,0,0,
"50302104313",157,5,143,36,337,
"50302104314",113,0,142,33,284,
"50302104315",102,0,108,21,223,
"50302104316",150,0,108,34,293,
"50302104317",203,0,60,17,282,
"50302104318",103,0,60,13,177,
"50302104319",145,0,30,10,184,
"50302104320",143,0,28,9,186,
"50302104321",168,0,92,26,288,
"50302104322",111,0,37,5,155,
"50302104323",141,3,37,10,191,
"50302104324",122,0,127,30,277,
"50302104325",116,0,37,12,163,
"50302104326",97,3,25,4,129,
"50302104327",103,0,15,3,124,
"50302104328",122,0,30,12,167,
"50302104329",167,0,25,13,204,
"50302104330",166,0,45,19,227,
"50302104331",177,4,55,19,246,
"50302104332",87,0,35,17,141,
"50302104333",102,0,35,13,147,
"50302104334",146,0,48,13,208,
"50302104335",139,0,87,43,272,
"50302104337",117,0,179,27,329,
"50302104338",113,0,44,10,166,
"50302104339",151,0,91,22,263,
"50302104340",132,4,65,16,219,
"50302104341",85,0,96,32,215,
"50302104342",96,0,85,21,199,
"50302104343",73,0,78,19,167,
"50302104344",88,0,113,29,227,
"50302104345",75,0,107,17,202,
"50302129501",183,0,135,57,370,
"50302129502",181,0,99,103,382,
"50302129503",125,0,184,85,397,
"50302129504",98,0,69,20,182,
"50302129505",150,0,205,105,462,
"50302129506",90,5,165,62,318,
"50302129507",91,0,120,39,252,
"50302129508",196,0,238,134,570,
"50302129509",107,0,82,80,269,
"50302129510",80,0,153,61,294,
"50302129511",98,0,120,105,317,
"50302129512",56,0,67,30,155,
"50302129513",207,0,239,79,529,
"50302129514",0,0,0,0,0,
"50302129515",159,0,220,80,456,
"50302129516",154,0,109,61,328,
"50302129517",82,0,182,40,302,
"50302129518",117,0,204,56,380,
"50302129519",91,0,60,35,187,
"50302129520",109,0,90,44,242,
"50302129521",101,0,77,52,229,
"50302129522",150,0,158,67,381,
"50302129523",71,0,210,55,337,
"50302129524",62,0,96,40,195,
"50302129525",83,0,49,19,149,
"50302129601",87,0,94,15,199,
"50302129602",136,0,129,32,298,
"50302129603",106,0,128,43,278,
"50302129604",109,0,123,22,257,
"50302129605",129,0,170,45,345,
"50302129606",143,0,176,56,379,
"50302129607",56,0,110,39,208,
"50302129608",77,0,102,20,193,
"50302129609",77,0,79,23,176,
"50302129610",119,0,140,31,288,
"50302129611",85,0,99,33,220,
"50302129612",76,0,84,32,193,
"50302129613",75,0,61,22,162,
"50302129614",130,0,115,28,279,
"50302129615",113,0,173,43,330,
"50302129616",55,0,128,42,217,
"50302129617",85,0,112,24,222,
"50302129618",140,0,145,35,320,
"50302129619",84,0,89,20,196,
"50302129620",129,0,168,58,358,
"50302129621",63,0,88,14,165,
"50302129622",113,0,196,82,391,
"50302129623",77,0,187,69,325,
"50302129624",86,0,125,32,249,
"50302129625",70,0,106,31,204,
"50302129626",67,0,84,30,187,
"50302129701",140,0,227,66,437,
"50302129702",0,0,0,0,0,
"50302129703",98,0,118,68,284,
"50302129704",31,0,79,91,197,
"50302129705",16,0,47,33,99,
"50302129706",128,0,179,142,449,
"50302129707",66,0,133,50,248,
"50302129708",91,0,238,62,387,
"50302129709",82,0,102,100,284,
"50302129710",150,0,172,55,377,
"50302129711",0,0,22,0,22,
"50302129712",111,0,176,43,333,
"50302129713",105,0,294,304,702,
"50302129714",99,0,140,73,308,
"50302129715",63,0,84,33,180,
"50302129716",58,0,62,25,151,
"50302129717",119,0,214,82,408,
"50302129718",61,0,79,41,177,
"50302129719",58,0,60,44,157,
"50302129720",41,0,176,37,260,
"50302129721",77,0,161,33,268,
"50302129722",181,0,268,150,602,
"50302129723",55,0,94,62,207,
"50302129724",0,0,15,3,20,
"50302129725",102,0,192,59,349,
"50302129726",109,0,130,81,321,
"50302129727",84,0,127,63,273,
"50302129728",82,0,143,44,268,
"50302129729",111,0,241,60,422,
"50401104401",88,0,18,11,125,
"50401104402",108,4,44,12,162,
"50401104403",61,3,39,0,105,
"50401104404",140,0,79,18,235,
"50401104405",117,0,75,12,201,
"50401104406",95,4,57,17,166,
"50401104407",135,3,59,16,210,
"50401104408",126,0,74,13,217,
"50401104409",98,0,42,15,159,
"50401104410",103,0,46,12,169,
"50401104411",135,6,70,14,228,
"50401104412",99,0,67,15,178,
"50401104413",92,0,62,13,169,
"50401104414",113,0,84,17,226,
"50401104415",227,3,153,30,418,
"50401104416",109,5,39,12,159,
"50401104417",106,0,40,13,160,
"50401104418",113,0,54,21,196,
"50401104419",183,5,68,15,268,
"50401104420",87,4,71,7,169,
"50401104421",157,0,84,13,251,
"50401104422",155,6,89,14,258,
"50401104423",169,4,95,23,292,
"50401104424",99,0,54,18,174,
"50401104425",109,0,53,14,173,
"50401104426",128,0,86,6,224,
"50401104427",88,0,53,11,156,
"50401104428",123,0,93,21,241,
"50401104429",160,4,109,32,305,
"50401104430",97,0,97,14,215,
"50401104431",119,0,80,19,212,
"50401104432",0,0,0,4,5,
"50401104433",177,0,105,22,304,
"50401104434",0,0,0,0,0,
"50401104435",110,0,124,37,279,
"50401104436",66,3,21,9,92,
"50401104437",52,0,32,8,97,
"50401104501",111,0,43,10,163,
"50401104502",76,0,33,10,121,
"50401104503",150,0,52,17,231,
"50401104504",133,4,49,8,195,
"50401104505",141,0,96,25,263,
"50401104506",95,0,44,10,155,
"50401104507",106,3,37,7,160,
"50401104508",85,0,41,10,139,
"50401104509",120,0,60,10,192,
"50401104510",87,0,105,17,210,
"50401104511",194,0,96,26,311,
"50401104512",7,0,15,0,18,
"50401104513",144,0,70,11,227,
"50401104514",123,4,31,12,169,
"50401104515",127,0,74,33,232,
"50401104516",124,5,54,17,199,
"50401104517",186,0,74,14,279,
"50401104518",78,0,26,11,115,
"50401104519",0,0,4,0,3,
"50401104521",108,3,62,12,195,
"50401104522",84,4,54,10,156,
"50401104523",91,0,29,6,130,
"50401104524",146,4,97,11,262,
"50401104525",159,0,54,13,222,
"50401104527",68,0,105,9,183,
"50401104528",138,0,103,33,277,
"50401104529",84,3,50,13,152,
"50401104530",191,4,95,20,309,
"50401104531",129,0,56,13,204,
"50401104532",162,0,36,11,213,
"50401104533",117,0,54,11,181,
"50401104534",154,0,66,24,246,
"50401104535",102,4,63,18,189,
"50401104536",116,0,34,11,161,
"50401104537",171,0,161,43,373,
"50401104538",60,0,110,81,245,
"50401104539",124,0,46,14,179,
"50401104540",118,4,60,5,187,
"50401104541",150,0,68,13,230,
"50401104542",147,0,49,30,227,
"50401104543",165,0,60,14,236,
"50401104544",156,0,42,16,221,
"50401104545",95,0,50,16,164,
"50401104546",152,0,76,16,244,
"50401104547",127,0,56,10,196,
"50401104548",110,3,42,13,169,
"50401104550",148,0,58,15,224,
"50401104551",104,5,59,19,178,
"50401104552",95,3,51,8,150,
"50401104553",110,0,56,12,176,
"50401104554",159,0,46,12,217,
"50401104555",29,0,49,22,104,
"50401104556",96,0,31,14,147,
"50401104557",62,0,104,41,209,
"50401104558",112,0,59,13,177,
"50401104560",110,0,36,11,157,
"50401104601",85,0,57,21,168,
"50401104602",197,0,149,52,400,
"50401104603",101,0,61,24,191,
"50401104604",94,3,95,20,214,
"50401104605",156,4,95,25,285,
"50401104606",136,3,23,14,172,
"50401104607",101,0,22,9,130,
"50401104608",0,0,0,0,0,
"50401104609",124,0,150,37,314,
"50401104610",60,0,79,94,233,
"50401104611",91,0,91,22,208,
"50401104612",128,0,89,23,235,
"50401104613",94,0,116,33,239,
"50401104614",202,0,305,161,679,
"50401104615",102,0,122,41,266,
"50401104616",128,0,150,61,333,
"50401104617",100,3,134,41,279,
"50401104618",99,3,107,16,221,
"50401104619",86,0,117,35,231,
"50401104620",88,0,136,34,258,
"50401104621",144,0,225,78,444,
"50401104622",69,0,174,150,388,
"50401104623",174,0,231,52,462,
"50401104624",70,3,150,55,275,
"50401104625",96,0,142,56,298,
"50401104626",176,0,163,39,379,
"50401104627",152,0,125,16,298,
"50401104628",118,0,205,68,392,
"50401104701",132,0,54,12,208,
