Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"MB (EN) by 1-digit level HCFMD Family Household Composition (Dwelling)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"1-digit level HCFMD Family Household Composition (Dwelling)","One family household","Multiple family household","Other household","Not applicable","Total",
"MB (EN)",
"50193660000",0,0,0,0,0,
"50193690000",22,0,22,4,41,
"50193700000",30,0,23,0,53,
"50193712000",21,0,9,3,35,
"50193721000",0,0,0,0,0,
"50193722000",25,0,12,3,39,
"50391839900",0,0,0,0,0,
"50391840000",34,0,25,4,64,
"50392059100",9,0,34,10,54,
"50188120000",33,0,16,11,59,
"50193820000",18,0,16,3,44,
"50193830000",18,0,5,5,29,
"50194510000",0,0,0,0,0,
"50377210000",0,0,0,0,0,
"50377220000",0,0,0,0,0,
"50392014700",16,0,24,3,42,
"50194230000",28,0,13,9,51,
"50194241000",22,0,17,3,39,
"50194242000",29,0,13,3,42,
"50194270000",15,0,16,3,38,
"50194280000",23,0,20,3,50,
"50194290000",17,0,11,5,27,
"50391655800",0,0,0,0,0,
"50188070000",42,0,9,6,54,
"50193852000",17,0,3,0,30,
"50193860000",24,0,3,0,31,
"50194432000",12,0,0,0,7,
"50194470000",0,0,0,0,0,
"50194480000",32,5,7,0,46,
"50194490000",26,0,3,0,31,
"50194400000",25,4,8,0,37,
"50194410000",27,0,3,0,30,
"50194420000",44,0,5,3,54,
"50194431000",17,0,0,0,17,
"50194433000",12,0,0,4,12,
"50188080000",27,0,23,10,52,
"50194180000",22,0,11,6,35,
"50194190000",19,0,7,0,28,
"50194200000",14,0,15,4,36,
"50194210000",34,0,13,8,50,
"50194220000",24,0,13,6,38,
"50190140000",3,0,10,6,18,
"50194370000",39,0,15,3,53,
"50194381000",10,0,6,3,21,
"50194382000",19,0,5,0,27,
"50194390000",0,0,0,0,0,
"50193460000",0,0,0,0,0,
"50193490000",14,0,19,4,35,
"50193500000",0,0,0,0,0,
"50193510000",18,0,14,4,34,
"50193550000",41,4,25,8,68,
"50391669400",31,0,20,0,52,
"50187910000",21,0,13,4,37,
"50193530000",0,0,0,0,0,
"50193540000",32,0,20,0,57,
"50377020000",0,0,0,0,0,
"50391842000",7,0,6,0,18,
"50392056900",27,0,12,3,41,
"50188040000",14,0,10,4,27,
"50194100000",18,0,10,0,31,
"50391547600",7,0,0,0,14,
"50391645400",24,0,16,4,51,
"50391724400",11,0,14,9,30,
"50392057800",48,0,47,19,116,
"50193620000",19,0,14,4,30,
"50193630000",0,0,0,0,0,
"50193650000",37,0,12,0,48,
"50193715000",0,0,0,0,3,
"50391827200",7,0,18,0,25,
"50391839800",27,0,9,3,33,
"50391841800",25,0,6,0,42,
"50187960000",35,0,12,0,50,
"50193570000",0,0,0,0,0,
"50193580000",24,0,19,6,48,
"50193590000",0,0,0,0,0,
"50193600000",28,0,22,3,51,
"50193610000",25,7,19,0,52,
"50193640000",17,0,14,0,25,
"50193520000",0,0,0,0,0,
"50194030000",15,0,6,0,24,
"50194040000",16,5,13,6,41,
"50194050000",20,0,11,0,29,
"50194060000",30,0,7,6,45,
"50194070000",26,0,19,5,51,
"50194080000",23,0,26,3,50,
"50188050000",24,0,17,4,51,
"50194120000",0,0,0,0,0,
"50194130000",0,0,0,0,0,
"50194140000",20,0,26,0,52,
"50194151000",24,0,15,0,44,
"50194152000",0,0,5,0,10,
"50194160000",23,0,11,0,35,
"50194170000",27,0,14,9,46,
"50193870000",0,0,0,0,0,
"50193880000",0,0,0,0,0,
"50193890000",0,0,0,0,0,
"50193900000",0,0,0,0,0,
"50193911000",0,0,0,0,0,
"50193912000",0,0,0,0,0,
"50193921000",0,0,0,0,0,
"50193922000",0,0,0,0,0,
"50193930000",0,0,0,0,0,
"50193941000",0,0,0,0,0,
"50193942000",0,0,0,0,0,
"50190050000",75,0,136,35,250,
"50392021800",46,0,37,9,90,
"50187980000",32,0,22,9,63,
"50193990000",0,0,0,0,0,
"50194000000",25,0,23,7,50,
"50391701400",23,0,7,0,41,
"50188100000",25,0,12,7,48,
"50193802000",12,0,8,3,19,
"50391567700",29,0,15,13,57,
"50193960000",0,0,0,0,0,
"50193970000",23,0,8,6,31,
"50194010000",26,0,3,0,38,
"50194020000",55,5,24,8,81,
"50391693100",38,0,10,0,47,
"50188090000",31,0,17,0,43,
"50188110000",25,0,18,4,44,
"50193740000",20,0,18,4,41,
"50193780000",16,0,18,0,35,
"50193790000",0,0,0,0,0,
"50391496400",0,0,0,0,0,
"50191700000",27,0,6,12,42,
"50191710000",31,0,0,19,52,
"50191730000",10,0,3,15,33,
"50191740000",16,0,8,11,34,
"50191760000",23,0,8,16,49,
"50191770000",19,0,6,16,38,
"50376450000",0,0,0,0,0,
"50376460000",0,0,0,0,0,
"50376470000",0,0,0,0,0,
"50376480000",0,0,0,0,0,
"50376490000",0,0,0,0,0,
"50376500000",0,0,0,0,0,
"50376510000",0,0,0,0,0,
"50376520000",0,0,0,0,0,
"50376530000",0,0,0,0,0,
"50391653900",14,0,14,15,48,
"50391654800",0,0,0,0,0,
"50391926000",0,0,0,0,0,
"50391931600",16,0,0,14,30,
"50391957100",10,0,3,59,76,
"50391973400",0,0,0,0,0,
"50187280000",0,0,0,0,0,
"50187290000",23,0,3,14,47,
"50191120000",23,3,14,18,63,
"50191130000",0,0,0,0,0,
"50191140000",0,0,0,0,0,
"50191150000",16,0,7,17,39,
"50191160000",11,0,3,23,37,
"50191190000",11,0,4,17,34,
"50376550000",0,0,0,0,0,
"50376560000",0,0,0,0,0,
"50376570000",0,0,0,0,0,
"50376590000",0,0,0,0,0,
"50376600000",0,0,0,0,0,
"50376630000",0,0,0,0,0,
"50376640000",0,0,0,0,0,
"50376650000",0,0,0,0,0,
"50376800000",0,0,0,0,0,
"50391436700",0,0,0,0,0,
"50391483000",0,0,0,0,0,
"50391570700",0,0,0,0,0,
"50391927000",15,0,13,11,42,
"50391932400",9,0,3,5,25,
"50187190000",20,0,12,9,40,
"50187200000",29,0,5,12,47,
"50187220000",23,0,3,3,31,
"50187270000",23,0,7,4,38,
"50191100000",0,0,0,0,0,
"50191372000",15,0,0,5,21,
"50187150000",21,0,11,6,35,
"50187160000",0,0,0,0,0,
"50187170000",13,0,13,7,29,
"50191220000",28,0,7,19,49,
"50191260000",16,0,14,15,35,
"50191270000",26,0,22,7,53,
"50376830000",0,0,0,0,0,
"50391475500",0,0,0,0,0,
"50187240000",17,0,6,5,27,
"50191330000",12,0,10,15,42,
"50191340000",20,0,7,10,39,
"50191350000",22,0,8,8,35,
"50191361000",8,0,4,17,30,
"50191362000",14,0,3,5,23,
"50376810000",0,0,0,0,3,
"50190661000",0,0,0,0,0,
"50190850000",36,0,10,4,56,
"50190860000",18,0,6,6,25,
"50190870000",21,0,13,0,30,
"50190880000",24,0,15,11,59,
"50191200000",31,0,10,11,52,
"50191210000",30,0,8,7,46,
"50191240000",0,0,0,0,0,
"50391567300",0,0,0,0,0,
"50391952200",0,0,0,0,0,
"50187260000",37,0,15,4,53,
"50190960000",30,0,17,0,46,
"50190970000",26,0,14,4,47,
"50191090000",6,0,12,3,25,
"50191371000",23,0,10,17,48,
"50189914000",208,0,192,39,447,
"50195831000",27,0,5,0,31,
"50195840000",26,0,10,8,46,
"50391463800",20,0,28,8,57,
"50391463900",21,0,25,10,60,
"50391660100",19,0,3,3,24,
"50391661600",0,0,0,0,0,
"50391937400",18,0,41,4,69,
"50391937500",42,0,45,11,96,
"50190330000",0,0,0,0,0,
"50190361000",39,0,9,4,49,
"50190362000",26,0,8,0,31,
"50190410000",28,0,9,0,35,
"50391531200",27,7,0,3,33,
"50391531300",17,0,9,0,27,
"50190890000",29,5,6,7,44,
"50190900000",25,0,5,9,31,
"50190910000",26,0,9,3,40,
"50190920000",13,0,4,4,24,
"50190940000",18,0,15,9,45,
"50190950000",7,0,4,0,12,
"50190810000",32,0,13,3,49,
"50190820000",10,0,4,3,13,
"50191020000",36,4,14,3,61,
"50190780000",22,0,11,9,40,
"50190990000",16,0,7,4,30,
"50376880000",0,0,0,0,0,
"50391940000",30,0,14,4,50,
"50391969000",36,0,12,5,54,
"50190690000",0,0,0,0,0,
"50190700000",0,0,0,0,0,
"50190710000",39,0,13,4,58,
"50190720000",30,0,8,4,42,
"50190730000",20,0,8,0,34,
"50190740000",27,0,5,0,35,
"50187140000",32,0,6,3,46,
"50190830000",28,0,9,5,39,
"50190840000",37,0,7,8,49,
"50391486300",20,0,4,0,31,
"50391486400",15,0,10,11,30,
"50190260000",32,0,7,0,38,
"50190270000",38,0,6,4,45,
"50190280000",35,0,0,8,43,
"50190290000",14,0,0,3,21,
"50190300000",32,0,9,4,42,
"50190310000",25,0,5,9,38,
"50195552100",7,0,0,0,7,
"50195552200",0,0,0,0,0,
"50195552300",12,0,4,0,15,
"50195552400",17,0,0,4,26,
"50195552500",32,0,3,8,49,
"50195555200",34,0,10,3,43,
"50190250000",22,0,9,0,32,
