Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"SA1 (EN) by IRSAD Deciles at SA1 Level (Area)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"IRSAD Deciles at SA1 Level (Area)","Decile 1","Decile 2","Decile 3","Decile 4","Decile 5","Decile 6","Decile 7","Decile 8","Decile 9","Decile 10","Total",
"SA1 (EN)",
"50201102802",144,0,0,0,0,0,0,0,0,0,144,
"50201102804",239,0,0,0,0,0,0,0,0,0,239,
"50201102805",0,189,0,0,0,0,0,0,0,0,189,
"50201102807",0,92,0,0,0,0,0,0,0,0,92,
"50201102808",0,0,201,0,0,0,0,0,0,0,201,
"50201102809",0,0,0,218,0,0,0,0,0,0,218,
"50201102811",0,0,0,0,0,318,0,0,0,0,318,
"50201102812",0,0,369,0,0,0,0,0,0,0,369,
"50201102813",322,0,0,0,0,0,0,0,0,0,322,
"50201102814",0,184,0,0,0,0,0,0,0,0,184,
"50201102815",344,0,0,0,0,0,0,0,0,0,344,
"50201102816",0,0,0,301,0,0,0,0,0,0,301,
"50201102817",320,0,0,0,0,0,0,0,0,0,320,
"50201102818",0,169,0,0,0,0,0,0,0,0,169,
"50201102819",0,234,0,0,0,0,0,0,0,0,234,
"50201102820",178,0,0,0,0,0,0,0,0,0,178,
"50201102821",295,0,0,0,0,0,0,0,0,0,295,
"50201102822",128,0,0,0,0,0,0,0,0,0,128,
"50201102823",0,0,0,0,0,0,0,0,0,0,0,
"50201102824",227,0,0,0,0,0,0,0,0,0,227,
"50201102825",0,0,221,0,0,0,0,0,0,0,221,
"50201102826",0,0,134,0,0,0,0,0,0,0,134,
"50201102827",0,0,0,0,0,0,0,0,0,0,0,
"50201102828",0,127,0,0,0,0,0,0,0,0,127,
"50201102829",174,0,0,0,0,0,0,0,0,0,174,
"50201102830",0,0,0,0,0,0,0,363,0,0,363,
"50201102901",0,0,0,0,0,0,0,0,0,0,0,
"50201102904",0,0,77,0,0,0,0,0,0,0,77,
"50201102905",0,0,0,0,79,0,0,0,0,0,79,
"50201102907",0,0,0,98,0,0,0,0,0,0,98,
"50201102909",215,0,0,0,0,0,0,0,0,0,215,
"50201102910",371,0,0,0,0,0,0,0,0,0,371,
"50201102912",0,0,0,0,0,0,219,0,0,0,219,
"50201102913",0,0,0,251,0,0,0,0,0,0,251,
"50201102914",318,0,0,0,0,0,0,0,0,0,318,
"50201102915",196,0,0,0,0,0,0,0,0,0,196,
"50201102916",199,0,0,0,0,0,0,0,0,0,199,
"50201102917",0,138,0,0,0,0,0,0,0,0,138,
"50201102919",0,270,0,0,0,0,0,0,0,0,270,
"50201102920",0,0,0,0,0,0,45,0,0,0,45,
"50201102921",0,0,0,91,0,0,0,0,0,0,91,
"50201102922",0,0,131,0,0,0,0,0,0,0,131,
"50201102923",0,0,338,0,0,0,0,0,0,0,338,
"50201102924",236,0,0,0,0,0,0,0,0,0,236,
"50201102925",0,0,0,153,0,0,0,0,0,0,153,
"50201102926",0,0,0,0,0,0,0,0,0,0,0,
"50201102927",0,0,0,0,0,0,0,0,0,0,0,
"50201102928",0,0,0,0,155,0,0,0,0,0,155,
"50201102929",0,0,0,138,0,0,0,0,0,0,138,
"50201102930",0,0,0,0,0,92,0,0,0,0,92,
"50201102931",0,0,134,0,0,0,0,0,0,0,134,
"50201102932",0,0,0,207,0,0,0,0,0,0,207,
"50301103001",0,0,0,0,0,0,0,0,0,302,302,
"50301103002",0,0,0,0,0,0,0,0,0,127,127,
"50301103003",0,0,0,0,0,0,0,0,0,0,0,
"50301103004",0,0,0,0,0,0,0,0,0,0,0,
"50301103005",0,0,0,0,0,0,0,0,0,0,0,
"50301103006",0,0,0,0,0,0,0,0,0,0,0,
"50301103007",0,0,0,0,0,0,0,0,0,176,176,
"50301103008",0,0,0,0,0,0,0,0,0,179,179,
"50301103009",0,0,0,0,0,0,0,0,0,168,168,
"50301103010",0,0,0,0,0,0,0,0,0,207,207,
"50301103011",0,0,0,0,0,0,0,0,0,256,256,
"50301103012",0,0,0,0,0,0,0,0,0,141,141,
"50301103013",0,0,0,0,0,0,0,0,0,177,177,
"50301103014",0,0,0,0,0,0,0,0,0,98,98,
"50301103015",0,0,0,0,0,0,0,0,0,208,208,
